,restaurant,type,price,review,url
42,The Bombay Club,Indian,$$$,"Ashok Bajaj’s stately first restaurant wears its 28 years well, thanks to stellar service and a genteel ambience, plus touches that are just throwback enough to fit the vibe (tunes from a white piano). Still, for all the supper-clubby qualities, chef Nilesh Singhvi’s cooking tastes present tense. A variety of curries and artful thali tastings proffered on silver trays join seasonal specialties such as squash-stuffed samosas or vigorously seasoned ground-duck kebabs. Even carnivores shouldn’t ignore the vegetarian section, where mushrooms braised in cashew curry and 16-hour dal makhani reinforce the notion that great things develop with time. Desserts run overly sweet, even by Indian standards—try a sorbet or hard-to-find Amrut whisky instead.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-bombay-club/
43,Inferno Pizzeria Napoletana,"Italian, Pizza",$$,"What’s a three-star chef doing running a pizza joint in a Gaithersburg shopping plaza? Having a blast. Tony Conte may have abandoned his post at the Oval Room, but he hasn’t ditched his commitment to top-quality ingredients, nor has he tossed aside his essential approach, which is to create intricate dishes of varying textures and popping flavors. His sunchoke appetizer is deserving of white-glove presentation—the vegetables roasted until they take on the softness of baked potatoes, then hit with Parmesan sauce and toasted hazelnuts. He brings this same care to his thin-crust pizzas. A version with soft egg and truffles is both indulgent and made for quick devouring.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-inferno-pizzeria-napoletana
44,Sushi Sono,"Japanese, Sushi",$$$,"If you’d never been and decided to chance dropping by here on a weekend night without a reservation, you’d encounter a line out the door and you’d probably begin looking around the lakefront complex at other options. The reason to stick it out—or make a reservation—is the consistently high quality of the fish and the skill of the veteran sushi chefs. This is special-occasion sushi, but you might not know it, given the lack of trappings and the absence of ceremonial hush. But one look at the rolls ought to persuade you. Yes, rolls. At most places, they’re convenient excuses to use up tougher, chewier parts of the fish; here, they’re conceived as showstoppers. Pay attention to the specials posted over the sushi bar, where you’ll find rarities and choice cuts.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-sushi-sono
45,Woodberry Kitchen,American,$$$,"The lone Baltimore restaurant on the list is here for a bunch of reasons. These are the big ones: No space in Washington is as charming as this firewood-stacked former mill, and no chef is as fixated on uncovering the culinary histories and honoring the traditions of the Chesapeake region as Spike Gjerde. Many restaurants have latched onto the farm-to-table movement, but Gjerde is a model for it. His kitchen handmakes everything it can, including things you can’t show off in pretty jars, like cornmeal. The menu leans hard on nostalgic kitchen-table fare (chicken and biscuits, turkey pot pie) but it often does so with a wink—the “adolescent greens” salad is served with “keys to the car, broken curfew,” and an Irish coffee arrives with a glassy brûléed-sugar top.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-woodberry-kitchen
46,Thip Khao,Laotian,$,"It’s not as if you have to like insanely spicy food or off-cuts to come here, but you’re going to have a more exciting time if you do. And if you happen to go for both at once, then few restaurants are going to make you happier. Thip Khao is the second restaurant from Seng Luangrath (also behind Bangkok Golden) and intended as a showcase for the pungent, sour, spicy, bright flavors of her native Laos. Laos borders Thailand, but that’s not to say your Thai restaurant experiences will prepare you for this food, particularly those dishes from the “jungle” section of the menu. Offal remains trendy in fine-dining circles, a chance for chest-flexing chefs to show they’re badasses, but we doubt you’ve ever seen the likes of pig ears and intestines so richly exploited for their intensity and depth of flavor.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-thip-khao
47,The Ashby Inn & Restaurant,American,$$$$,"Don’t be fooled by the well-worn beams and creaky wood flooring. The food at this 19th-century inn in the Blue Ridge foothills is thoroughly modern, thanks to chef Patrick Robinson, who recently arrived from Table in DC. Focus on his charcuterie, in the form of razor-thin duck prosciutto and earthy chicken-liver mousse with shallot jam—they pair nicely with the standout list of wines and ciders. At the same time, his kitchen dazzles with more serious fare such as roasted meats and fish. The taproom, with its crackling fireplace, is coziest in winter; the porch dining room’s sweeping meadow view calls in summer. People-watching—Ashby is a favorite hangout for the horse-country set—is fun anytime.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-the-ashby-inn-and-restaurant/
48,Osteria Morini,Italian,$$$,"The Capitol Riverfront area has grown significantly since New York restaurateur Michael White opened a branch of his SoHo osteria there two years ago, though it’s far from fully developed. No matter—Morini possesses the spirit of a full-fledged neighborhood Italian joint. Groups crowd the bar for superb cheese and charcuterie, while the window-wrapped dining room is the place to tuck into executive chef Matt Adler’s robust cooking from the Emilia-Romagna region. Spring for the shareable antipasti—mortadella meatballs are a classic for a reason—though it pays to be selfish when it comes to fresh pastas such as butternut-squash-stuffed pillows with braised-lamb ragu. Homing in on the carbs often yields maximum enjoyment, especially when you include pastry chef Alex Levin’s fabulous desserts or weekend-brunch pastry basket, filled with warm Danish and speck-flecked brioche.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-osteria-morini
49,Restaurant Eve,"American, Filipino",$$$$,"Digging into Filipino “street barbecue” seems odd at Cathal and Meshelle Armstrong’s Old Town restaurant, given its decade-old reputation as a fine-dining destination for Continental cooking with a locavore bent. Still, sisig and kinilaw are all part of the new Eve, which has melded its tasting room and bistro and now serves both à la carte and prix fixe menus—half Filipino and Asian, half Modern European—throughout the jewel-toned 17th-century rowhouse. The split speaks to the owners’ heritages—Meshelle comes from a Filipino family; Cathal, the chef, is from Ireland—and serves as a preview of the pan-Asian restaurant they hope to open in Southwest DC. Though Cathal’s passion for both cultures comes through on individual dishes, the collision of cuisines gave us whiplash when it came to ordering. Our advice: Stick to one side of the menu. Tables can contentedly linger over a family-style Filipino tasting ($65 a person) or equally delicious Western dishes, such as squash agnolotti with smoked ricotta and sage. Co-owner, sommelier, and cocktail man Todd Thrasher deftly pairs beverages with both.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-restaurant-eve
50,The Dabney,American,$$$,"Few kitchens are equipped with 19th-century cookbooks or a Colonial-style hearth, but that’s just part of the reason the Dabney has set itself apart in its three-month existence. Chef Jeremiah Langhorne—who left Charleston’s lauded McCrady’s to build his Shaw restaurant—aspires to do for the Mid-Atlantic what mentor Sean Brock has done for Southern cuisine. We’ve found the greatest satisfaction in exploring the smaller plates, including toasty sweet-potato rolls with pepper jelly, Duke’s mayo, and pork belly, or buttermilk biscuits stacked with fried eggs and foie gras. Langhorne does double duty as pastry chef with aplomb, leaving us to wonder why no one thought of an apple crumble with Angostura-bitters ice cream sooner.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-the-dabney
51,Momofuku CCDC,"American, Pan-Asian, Ramen",$$,"No restaurant opening of 2015 was more anticipated than this spinoff of David Chang’s Momofuku brand. It would be hard for any restaurant to live up to such immense expectations, particularly an outpost of empire with an absentee chef/owner. And while there are dishes that will have you marveling at Chang’s ability to make fast food feel like fine dining, you’ll also encounter the rough edges endemic to high-volume operations where the boss isn’t always looking—a dish that needs more fine-tuning, a presentation that comes across as more tossed off than labored upon. But Chang, a Northern Virginia native, is often maniacal in his quest for perfection. So keep an eye on the place over the coming year as he introduces new dishes and phases out some of the sure things associated with his other spots. In other words, as in 2015, no restaurant will be more talked about.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-momofuku-ccdc
52,The Restaurant at Patowmack Farm,"American, Modern",$$$$,"A visit to this Loudoun County farm isn’t a grand getaway in the vein of say, the Inn at Little Washington. That’s not a knock—instead, this is a more low-key place, a chance to ascend a hill; breathe in the clear, country air; and watch the sun slip over the horizon. It’s also, and not least, an opportunity to sample Tarver King’s experimental tasting menus, often constructed around the bounties of the farm. (On Thursdays, a simpler à la carte menu is served.) If some of the tricks seem extraneous—burning an autumn leaf to give a soup the scent of the woods—and the cooking tends to put too much of a premium on the pig, King is nearly always interesting. And when he finds expression in dishes conceived to deliver visceral pleasure, as in a fried hen with creamed rice, the drive seems well worth it: creativity and comfort, when so often these days you’re asked to choose.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-the-restaurant-at-patowmack-farm
53,Etto,"Italian, Pizza",$$,"Celery salad. It sounds like the opposite of fun, right? But leave it to Peter Pastan—a master of elevating even the simplest ingredients at 2Amys and Obelisk—to make it the thing we can’t stop coming back for at this pine-floored slip of a pizza place. The secrets? Three kinds of celery, which make for fantastic crunch, plus a hefty dose of pecorino and lemon. Your best move is to treat dinner as a snackfest of cured meats, cheeses, and small plates from the chalkboard menu (such as a fabulous eggplant Parm or a bowl of clams in sherry butter), then maybe finish with a pizza. The hearty crusts are made with house-milled flour, lightly charred, and sparingly topped.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-etto
54,Zaytinya,"Greek, Lebanese, Turkish",$$,"It’s been 14 years since José Andrés opened his Mediterranean mezze house, though you wouldn’t guess it from the crowds that still pack the lofty space. Chef de cuisine Michael Costa keeps palates engaged with the roster of creative Greek, Turkish, and Lebanese dishes. The menu of more than 60 small plates can make for a generous or slightly uneven dining experience, depending on how you order, though real misfires are rare and tables can forgo decision-making altogether and opt for the chef’s tasting ($55 a person). Our à la carte approach: Start with the stellar spreads and breads—try hummus scattered with ground lamb and pickled vegetables—and touch down at least once in each section, feasting on, say, crisp mussels dunked in walnut sauce, juicy kebabs, and local chard stewed with nutty green chickpeas. Peppercorn-scented Zarabanda saison ale, which Andrés helped create, makes a refreshing pairing across the board.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-zaytinya
55,Green Pig Bistro,"American, Southern",$$,"“Play with your food” seems to be the mantra at this Clarendon restaurant tricked out with concrete and brightly colored casserole pots. Many of the exuberant Southern-meets-French-or-Latino dishes are best eaten with your hands. Wedges of custardy cornbread, steamy in their iron skillet, are waiting to be dipped in maple butter. Buffalo ribs get swiped in rich blue-cheese sauce. And a ramekin of snails and mushrooms arrives with toast for sopping the juices. If you’re missing your knife and fork, a good New York strip with marrow butter and a crispy pork shank with plantains can get you reacquainted.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-green-pig-bistro
56,Ghibellina,"Italian, Pizza",$$,"The secret is out about this darkly minimalist restaurant’s happy hour, which lasts from 4 to 6:30 weekdays and starts at 3 on weekends. It’s not limited to booze: You can dig into the kitchen’s terrific thin-crust pies at a deep discount. Perhaps because of this, Ghibellina’s dining room is comparatively under the radar. That’s your gain on busy 14th Street nights or anytime you have a hankering for simple, olive-oil-and-herb-heavy Italian fare. Grilled meats come out particularly well, and the half chicken—cooked under a brick until its skin is extra-crispy—is worth a visit all by itself.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-ghibellina
57,Baby Wale,American,$$,"This is where Tom Power lets his hair down. His neighboring Corduroy is formal and elegant, with nary a note to be heard over the sound system. Here, in this high-ceilinged den, go-go music percolates and the chef works in a playfully casual vein, turning out, say, a foot-long griddled hot dog tucked into a seeded roll and draped with sauerkraut. There’s finesse to go with the fun. Power is a master soup maker, and if his elegant tomato version is on the menu, you’d be remiss for not starting there. The signature among the big plates is his faux rib eye, fashioned from a cut of beef shoulder and napped with a classical reduction of Burgundy—a.k.a. the best steak sauce around.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-baby-wale
58,Nido,Mediterranean,$$,"Fed up with noisy restaurants? This newcomer has departed from the herd, forgoing exposed brick and dangling bulbs in favor of a warm and soothing dining room pulsing with gentle bossa nova. The mood of a casually sophisticated dinner party is reinforced by Aaron Wright’s Mediterranean dishes, many of which—such as his chicken thigh with lemon, olives, and jus—consist of no more than three elements on a plate. Some, including a luscious Sicilian chickpea purée, might look like something you could whip up at home, but there’s more process to them than you can see. The less-is-more approach might not yield a host of discoveries at the table, but you’re almost assured of a relaxing and rewarding meal. Stick around for dessert. There are only a few sweets every night, but each is a model of elegant restraint.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-nido
59,Petit Louis Bistro,French,$$$,"Chef Cindy Wolf and partner Tony Foreman, known for Baltimore’s Charleston restaurant, nail the French bistro at this lakeside dining room with gilt mirrors and globe lanterns. The menu boasts smartly turned out classics including foie gras terrine, pommes Anna, and duck-leg confit. Apéritifs (like the pleasantly bitter, acid-yellow Suze d’Autrefois) and a long list of French wines with excellent by-the-glass offerings mean the crowd at the bar is often three deep. Desserts are nice enough, but if it’s either/or, the cheese cart is the way to go.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-petit-louis-bistro
60,Smokehouse Live,"American, Barbecue",$,"How does a barbecue joint crack the top 100? Start with the bark on the ribs, roasts, and short ribs—thick, and black as cinder: a sign of real skill on the pit master’s part. The interiors are just as impressive: the rosy pink of these luscious meats evidence of a deep, slow penetration of smoke. Many ’cue-joint sides are afterthoughts; not these. When it comes to the pickles (cured in Catoctin Creek Distillery whiskey barrels), collards, and baked grits, you see the same pride and know-how that distinguish the meats. Washington might never become a stop on the barbecue circuit, but in Smokehouse it has a place, like the best nationally, worth the drive.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-smokehouse-live
61,Graffiato,"Italian, Pizza",$$,"When it opened, it was mobbed nightly—more club, it seemed, than restaurant. Now Mike Isabella’s maiden venture has settled into life after stardom. The bad news first: It’s prone to unevenness, and the prices can get up there in a hurry. But there are more than enough thrills to make it worth seeking out. From one direction, the small-plates menu looks to be Mediterranean, from another, Italian—more specifically, Joisey Italian, an idiom that supplies many of the best moments, from a plate of chicken in pepperoni sauce to a pizza topped with provolone and fried calamari. No one would ever confuse Graffiato with a pizzeria, even a boutique one, but the pies are among the finest in the area.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-graffiato
62,Mokomandy,"Cajun/Creole, Korean",$$$,"The menu is Cajun and Korean, but the kitchen at this red-walled spot sidesteps chancy cross-pollinating among dishes. Mine the Korean offerings and you’ll be rewarded with such gems as foie gras dumplings with slow-roasted duck or a wild-boar bowl laden with pork-kimchee rice, filaments of seaweed, and funky gochujang. Over in Cajun country, come-hithers include fried catfish with pickled peppers, Old Bay, and rémoulade plus a fiery jambalaya with cracklings and house-made sausage. For dessert, the mini-pies à la mode are killer.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-mokomandy
63,Ruan Thai,Thai,$,"At this strip-mall Thai joint, you can pretty much close your eyes and point at the vast menu and there’s a good chance you’ll wind up with something wondrous. Frying is at a level far above other Thai restaurants (and other restaurants in general). The famed yum watercress salad—with its crispy bits of greens, shrimp, squid, cashew, and shallot tossed with spicy lime juice—tastes like a fritto misto gone Southeast Asian. Yum pla korb ramps up shards of crunchy fish with scallions, lemongrass, and lime. And boneless duck with a shower of chilies and basil is beautifully caramelized. You can also rely on this 18-year-old family-run kitchen for takeout standards: It makes a mean pad Thai, Panang curry, and chicken satay.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-ruan-thai
64,Hank’s Oyster Bar,"American, Seafood",$$,"When you tire of restaurant “concepts” and of servers who need to “explain” the menu to you, keep in mind Jamie Leeds’s convivial oyster houses—your antidote to trendy pretense. But why think only oppositionally? Hank’s is also pretty great for a light meal after a movie, or when you happen to have brought together a group of varying tastes and needs and find yourself desperate. The selection of oysters changes daily, the clam chowder rings true, the po’ boys overflow with beautifully fried shrimp and oysters, and the crabcakes (at a time, unfortunately, of diminishing returns on the scene) are reliably light and sweet. The best approach is to cobble together a meal from parts rather than order an entrée—big plates are iffier bets—and to drink with gusto (the bartenders know their stuff, and the beer list is stocked with goodies).",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-hanks-oyster-bar
65,Daikaya Ramen,"Japanese, Ramen",$,"Expect hour waits—even at lunch—for this 40-seat ramen shop across from the Verizon Center. Here’s why: In a city awash in ultra-porky tonkatsu ramen, chef Katsuya Fukushima’s lighter Sapporo-style soups offer more variety and nuance than the competition. Customers hunker on box-like benches, sipping beer to the tune of Jay-Z and a constant sizzling from the kitchen’s woks, which sear vegetables or add a roasted flavor to broth swirled in the pan. You won’t go wrong with any of the five styles of ramen, including a delicate shio (salt broth) and an earthy mugi-miso, swimming with springy noodles, bean sprouts, scallions, soy-marinated egg, and roasted and ground pork (the meatless version is excellent, too). Head to the second-floor izakaya for superb cocktails while you wait—recently, we’ve found the small plates up there to be lackluster.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-daikaya-ramen
66,Crane & Turtle,"French, Japanese",$$$,"The scene has witnessed an explosion, recently, of small, independent restaurants in locales where the best residents could hope for previously was a good wing shop. None, however, is quite like Crane & Turtle, which might easily have been an exercise in hipster self-congratulation—an expensive French-Japanese restaurant in a formerly working-class neighborhood—but instead seems so genuine and charming that you root for it. Makoto Hamamura’s brand of fusion, weaving the flavors and traditions of his native Japan with French techniques, is oddly (and unfortunately) out of fashion in this mash-up-mad food culture of ours. Occasionally, a dish comes across as more idea-in-process than fully realized vision, but the best plates feel both creative and rewarding. GM Elizabeth Parker came from Rose’s Luxury and imbues the operation with feel-good sincerity.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-crane-turtle
67,Johnny’s Half Shell,"American, Seafood, Southern",$$$,"Ann Cashion and John Fulchino’s roomy, tile-floored dining room—beloved by both Hill staffers and Louisianans hankering for a taste of home—celebrates New Orleans and Chesapeake seafood. That means po’ boys on Leidenheimer French bread flown in from Crescent City at lunch—the brisket with debris (all the charred, crusty bits from the pan) is pretty fabulous—and Chesapeake bouillabaisse laden with a crabcake at dinner. Well-considered cocktails (try the citrusy, sparkling Hum Royale), superlative frying, and nicely done raw-bar plates make this a place to nibble and drink as well as dine.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-johnnys-half-shell
68,Centrolina,Italian,$$$$,"Remember the name Roberto Donna? The Italian chef, once revered in Washington, has largely faded from view. But a generation of chefs apprenticed under his watchful gaze, among them his most recent protégé, Amy Brandwein, who learned more than a thing or two about pasta making. Let other chefs send out the expected tagliatelle and chittarra—Brandwein’s lineup includes such obscurities as reginette (crown-like cups containing various stuffings of seafood, including, in her rendition, scallop and cod) and casonsei (small, Lombardy-style ravioli filled with beef, chard, and raisins). The impressive thing is that she can take a pasta you might never have heard of and turn it into something just as comforting as a soulful bowl of spaghetti. The noodle stands at the center of the experience, but don’t bypass the colorful salads and the rustic roasted meats.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-centrolina
69,Toki Underground,"Ramen, Taiwanese",$$,"Chef/owner Erik Bruner-Yang may be spending more time at Maketto, his ambitious Taiwanese/Cambodian restaurant up the street, but you wouldn’t know it save for his absence in the open kitchen—there’s still good reason to snag one of this ramen joint’s 27 stools. Number one: soups such as the Toki Classic, packed with noodles, mustard greens, pickled ginger, a sous-vide egg, and an unapologetic quantity of pork. Though bowls are beyond filling, don’t ignore starters like the fried-chicken bao buns. Sakes and good cocktails help cut the richness, as do vegetarian dishes such as the seasonal tsukemen—noodles with a garden’s bounty of veggies and herbs.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-toki-underground
70,China Chilcano,"Chinese, Peruvian",$$,"José Andrés mines the cuisine of Peru, one of South America’s richest culinary plains, at this loud, flashbulb-bright dining room strewn with colorful pillows. As at pretty much every other place in José world, dishes have been distilled into small plates and are set off with inventive cocktails (try the Inca Sunrise, with rum, passionfruit, and muddled tomato). The menu can be tricky to navigate—it throws together Peruvian standards such as lomo saltado with dishes that bear a heavy Chinese or Japanese influence. Our advice: Get one of the excellent (and massive) fried-rice bowls and accent it with an array of dumplings, ceviches, and sushi rolls made with potato instead of rice. And feel free to get a little extra—dessert here is pretty skippable.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-china-chilcano
71,G by Mike Isabella,"Italian, Sandwiches",$$$,"By day, this narrow shop slings some of the top sandwiches in town. At night, the lights go down (though the sound system stays tuned to ’90s hip-hop and metal) and chef/owner Mike Isabella’s crew cranks out a more ambitious roster of Italian pastas and roasts. The $40 prix fixe menu—which begins with a generous meat-and-cheese slate—is a killer deal, but you can go à la carte as well. Even if you have kale fatigue, don’t overlook the cavolo nero salad, softened with tangy yogurt-tahini dressing. It’s one of the best plates of greens we’ve had in months.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-g-by-mike-isabella
72,Chez Billy and Chez Billy Sud ,French,$$$,"Eric and Ian Hilton’s sibling bistros look completely unrelated. The original Petworth location is cozy and creaky, while Georgetown’s Chez Billy Sud possesses an airier elegance, all pale-green walls and gilded mirrors. Though the Hiltons are masters of creating alluring ambience at places that include the Brixton and the Gibson, chefs Brendan L’Etoile and Lawrence DiJoseph bring delicious substance to the equation, too. Their menus convey a passion for the classics, including snails in garlic-parsley butter, crisp-skinned duck confit, and bright-tasting trout grenobloise. Though the offerings vary—Petworth leans rustic, Sud draws more from the sea—plenty of crossover exists, including one can’t-miss dessert: Paris-Brest, a confection of praline cream sandwiched between swirls of pastry.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-chez-billy-chez-billy-sud/
73,Peter Chang,Chinese,$$,"The Szechuan master chef who inspired a Deadhead-like following as he hopscotched from restaurant to restaurant in the American South has settled down and built an empire. These two dining rooms represent his incursion into the DC market. Chang’s greatness is not in doubt, but with expansion comes a streamlined menu for easy replication and a fleet of chefs who lack his deftness. Will you taste the magic that turned Chang into a kind of culinary folk hero? Some nights yes, some nights no. Stick to the greatest hits—the bamboo fish, cumin-scented and tucked into a woven basket; the mapotofu—and you improve your odds of getting a Szechuan meal of unparalleled lightness, depth, and punch.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-peter-chang/
74,Sushiko,"Japanese, Sushi",$$,"A vegan omakase tasting is one of many signs that Washington’s oldest sushi spot has evolved and is flourishing at its Chevy Chase location. (The Glover Park original, which opened 40 years ago, has shuttered.) You’ll still find immaculate sushi and sashimi—note the specials flown in from Japan—plus chef’s tastings at the sushi bar and excellent soups such as smoked-mussel miso broth. It’s worth exploring the expanded small-plates menu. We’re fans of the yellowtail crudo with grapefruit, miso-mustard duck, and addictive popcorn-style shrimp with yuzu aïoli.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-sushiko
75,Equinox,American,$$$$,"Time was, big chunks of protein were an emblem of upscale cuisine. These days, though, famous chefs are moving away from meat and toward vegetables: Witness the popularity of José Andrés’s Beefsteak (named for the tomato). Now Todd and Ellen Gray are getting into the act at their 17-year-old restaurant—roughly half the dinner menu is now vegan. And it works, most of the time. Even carnivores should explore the creative “plant-based selections” —we loved crispy sherry-glazed cauliflower with roasted spaghetti squash and a wild-mushroom pot au feu. Then again, soy-based chestnut velouté doesn’t have the same ethereal quality sans cream, and other options beckon from the menu’s omnivorous side, such as perfectly seared scallops or pappardelle in a lustrous Bolognese. Thankfully, all dishes can be ordered in half or full portions, inviting diners to dabble where they please.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-equinox
76,Et Voila!,"Belgian, French",$$,"Cheek-by-jowl tables and the happy buzz of conversation give this dining room the feel of a Montparnasse hangout. And while the menu includes nods to the City of Light such as duck confit and profiteroles, it skews toward the native cuisine of Belgian chef/owner Claudio Pirollo. That means mussels are reliably plump (we like the version with garlic and saffron) and frites nicely crunchy. Despite the cramped quarters, there’s a sense of wit to the place. Oversize cutlery doubles as art, and that luminous clock is actually a projection.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-et-voila
77,Trapezaria,Greek,$$,"In an unabashedly white-collar city like Washington, there aren’t a whole lot of blue-collar restaurants of worth—places with good food, moderate prices, and little pretense. The appeal of Trapezaria is that it occupies a point on the spectrum almost equidistant from fine dining and diner. Tablecloths grace the tables, but none of the plates that find their way to those tables is particularly pretty. And that’s as it should be—you’re here for rib-sticking satisfaction, not style. The dips, such as the taramasalata, all pop; the avgolemono is lemony and comforting; and the bigger plates, including the marvelous fried cod with skordalia—a kind of Greek fish and chips—have an assured simplicity.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-trapezaria
78,Ardeo & Bardeo,American,$$$,"DC’s dining scene would be stronger if there were more neighborhood restaurants like this Cleveland Park bistro. It’s casual enough to drop into for a solo glass of wine and a juicy burger, buzzy during prime time when you want to split some charcuterie with a date before hitting the Uptown Theater, and well suited to impressing food-loving friends (try the pasta with tender lamb-neck ragu). Though candlelit and moody at night, the space brightens for weekend brunch, still a top option with two courses and unlimited bubbles for $29.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-ardeo-bardeo
79,Wildwood Kitchen,Mediterranean,$$$,"Robert Wiedmaier has gone Mediterranean at this upscale-strip-mall bistro, the coziest dining room of the 11 in his empire. Retro lamps give off a rosy glow, while images of lush leaves provide a vivid pop of color. “Vivid” describes the cooking, too. Merguez is punctuated with spiced chickpeas and chermoula, an herby condiment from North Africa. And the beef carbonnade of Wiedmaier’s Belgian eateries morphs into an exotic dish of harissa-glazed beef enlivened with black garlic. It’s enough to make us wish we could talk him into opening a Wildwood in our neighborhood, too.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-wildwood-kitchen
80,L’Auberge Chez François and Jacques’ Brasserie,French,$$$$,"French bistro classics are having a moment, but it’s tougher to find the more opulent showpieces—Châteaubriand, Dover sole—that once defined Washington-area fine dining. Unless, that is, you’re at Jacques Haeringer’s cottage in Great Falls. His menu, which includes many nods to his late father, François, who founded the restaurant in 1954, dazzles not with innovation but with small comforts: The toasty garlic bread that kicks off the meal. The powdered-sugar-dusted soufflés that wind them down. In between, six-course parades of soul-satisfying cooking. In the event you’re not celebrating an anniversary or promotion,—which might place you in the minority at L’Auberge—Jacques’ Brasserie offers an à la carte menu and doesn’t require reservations or a coat and tie.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-lauberge-chez-francois-jacques-brasserie/
81,The Partisan,American,$$$,"The menu says “serves 4 to 6,” but what’s a number when you and a pal are bent on getting the pig feast this dining room is known for? Roasted pig’s head, sausage, smoked bone marrow, pig-ear salad—it’s all part of the bacchanal. (Just take home lots of leftovers.) Still, there are plenty of other ways to partake in the meaty thrills. Dabble in Nathan Anda’s charcuterie menu—we go for the bacon liverwurst, Negroni-inspired salami, and beef heart with bourbon-soaked peppercorns. Or head for bigger plates such as mezcal-braised lamb ribs and pork-shank confit. Don’t overlook the vegetables and smattering of seafood—a welcome counterpoint to all the fatty stuff.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-partisan/
82,Urban Butcher,American,$$,"A decade ago, the only time you ever saw charcuterie was in a French bistro. Now curing meats has become one of the ways talented chefs demonstrate their chops. This combination butcher shop/restaurant from Raynold Mendizabal has emerged as one of the area’s foremost destinations to sample the art—take a bite of coppa or bresaola from one of his marvelous boards and you’ll have tasted more flavor than some restaurants can pack into an entire meal. The surest route to a good time is to order a selection of meats to start, linger over them with a glass of wine, then return to the menu to accessorize your meal.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-urban-butcher
83,Brasserie Beck,Belgian,$$$,"Robert Wiedmaier’s soaring space is as charming as ever, from the clocks evoking European rail stations to the gorgeous display of fresh catches from around the world. The kitchen privileges familiarity over novelty, while the strapping portions of bistro cooking speak to Belgian traditions—as does the hearty rusticity of this sprawling menu of carbonnades, braised meats, and mussels. The moules frites come drenched with a rich Bolognese—a brilliant stroke. The wine list is excellent, but the emphasis is on beers, and the list of Belgian tripels, sours, and the like is encyclopedic.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-brasserie-beck
